"Gene","baseMean","log2FC","lfcSE","stat","PValue","FDR","log2FCabs"
"gatA",30609.4058264944,-2.22756471311875,0.698655329407778,-3.1883600100882,0.00143082272605556,0.0189373596095588,2.22756471311875
"gatY",106552.139002039,-2.26048275034662,0.620701035757878,-3.64182210133831,0.000270715131400623,0.00461572656021447,2.26048275034662
"gatZ",142884.541550493,-2.18094490678461,0.635225513555515,-3.4333395939614,0.000596194857371373,0.00891165389951964,2.18094490678461
"glcC",181.490379728825,-1.50131755605422,0.431095049595524,-3.48256737687625,0.000496630229314207,0.00761559651802109,1.50131755605422
"glcG",90.0742817596415,-1.09518082490409,0.353161687540404,-3.10107484345622,0.00192819547639819,0.0242442225341244,1.09518082490409
"glnA",17347.8745044203,1.64485272261413,0.453670214941654,3.62565729122348,0.000288227394211113,0.00482980013496545,1.64485272261413
"glnG",830.036605735082,1.52658969124327,0.45884772985534,3.32700717888385,0.000877841119457599,0.0126355918709806,1.52658969124327
"glpF",312.587342716697,-1.89348560626396,0.407025728947564,-4.65200470535339,3.28723576721481e-06,9.5598183026145e-05,1.89348560626396
"glpK",1093.71071395703,-2.15347516566918,0.303933851116986,-7.08534162205018,1.38701714434952e-12,1.2713712047227e-10,2.15347516566918
"gltB",14495.985352653,1.24893669558423,0.340058789667528,3.67270817144677,0.00023999350361076,0.00418924579198227,1.24893669558423
"gltD",5215.12800576765,1.09890640935165,0.212340923508172,5.17519840827745,2.27668912571178e-07,8.17886219530913e-06,1.09890640935165
"gmd",182.876381244942,3.29544529330144,0.994669989610111,3.31310417296613,0.000922666067967482,0.0131479914685366,3.29544529330144
"gntP",140.139844933375,-1.45127070459741,0.362704958232949,-4.0012430810646,6.30105859481425e-05,0.00132044242611916,1.45127070459741
"gpr",3233.82346270182,-2.93706635719171,0.41458968414844,-7.08427264229788,1.39776483326238e-12,1.2713712047227e-10,2.93706635719171
"grxB",6781.97170256457,1.31241315333194,0.315683050932332,4.15737604364847,3.21923846911874e-05,0.000732034279546948,1.31241315333194
"guaB",4652.85606527744,2.37294007401214,0.726584833103347,3.2658816505665,0.00109123846136851,0.0151462481245142,2.37294007401214
"hcaR",239.839669920098,-1.54346822626949,0.528085783494474,-2.92276041982418,0.00346943357306081,0.0392376416000925,1.54346822626949
"hokB",967.022522910162,-1.83065459551512,0.395357035880245,-4.63038324697889,3.64989540990347e-06,0.000104720153539177,1.83065459551512
"hsdR",3491.45647509266,-1.24565563473547,0.356103508788912,-3.49801561622316,0.000468733685954837,0.00723406681392392,1.24565563473547
"hycA",238.010984746752,4.00015688495381,0.606116006751326,6.59965557813585,4.12114074180679e-11,2.62953383152598e-09,4.00015688495381
"hycB",59.1123722850108,3.56496036492558,0.580417825072925,6.14205872205539,8.14587302010813e-10,4.04925664662352e-08,3.56496036492558
"hycC",50.6896341169143,1.3233885371303,0.366645205029543,3.60945273244106,0.000306843677450055,0.00508432837635266,1.3233885371303
"hycD",19.0954629394673,2.04134783644037,0.56851224942795,3.59068399756456,0.000329811306693855,0.00538146311494745,2.04134783644037
"hydN",181.761634765826,1.7881329232,0.510848702642793,3.50031802752827,0.000464703392650429,0.00719785146224849,1.7881329232
"idnD",168.990680133081,-2.91532156675545,0.397314515230775,-7.33756622272438,2.17512783963572e-13,2.32466787861067e-11,2.91532156675545
"idnO",135.721597453432,-2.67945500566281,0.328005443874283,-8.16893455795747,3.11124862885248e-16,4.58640961667047e-14,2.67945500566281
"iraP",2050.99761625969,-1.11220559799571,0.35517136800237,-3.13146187501322,0.00173938368269647,0.0223299256562385,1.11220559799571
"ivy",5620.37101735959,1.49365559459108,0.512871023162555,2.91234155788455,0.00358730139323608,0.0402512164201686,1.49365559459108
"lacA",94.7734742771069,-1.56633038062816,0.292284619120549,-5.3589216748424,8.37201384724256e-08,3.25366901790563e-06,1.56633038062816
"lacY",154.852065723396,-2.09459399166427,0.308185337365144,-6.79654006115988,1.07161517380947e-11,8.18063369292049e-10,2.09459399166427
"lacZ",283.231564430554,-2.67533813665682,0.262780480441476,-10.1808860846978,2.41353532195774e-24,7.93681807797642e-22,2.67533813665682
"lamB",2353.88277997983,-3.91381970623361,0.617818369246083,-6.33490342964326,2.37489975082377e-10,1.28515144743945e-08,3.91381970623361
"lgoR",818.475074413414,-4.34669039132157,0.484038882872509,-8.98004384591237,2.70658880024462e-19,5.78533356052287e-17,4.34669039132157
"lldP",630.057119434885,-3.18766485046054,0.859149478793878,-3.71025639791525,0.000207049444361924,0.003782634079689,3.18766485046054
"lrhA",6113.71657078167,-1.29545721805293,0.297873606737432,-4.34901645782551,1.36749450633604e-05,0.000332161307646965,1.29545721805293
"lsrA",190.349469298039,-2.4300734716466,0.383228361896419,-6.34105852609993,2.28191826454221e-10,1.25066674114333e-08,2.4300734716466
"lsrB",403.368713945256,-2.60084190968698,0.399782486673996,-6.5056424340265,7.73620426321529e-11,4.59337128128408e-09,2.60084190968698
"lsrC",134.828550853216,-2.67732292566161,0.394662089466654,-6.78383608944993,1.17026096852089e-11,8.77695726390665e-10,2.67732292566161
"lsrD",117.39847412542,-2.46361374601973,0.399828570044444,-6.16167510427251,7.19794171060841e-10,3.70737359190975e-08,2.46361374601973
"lsrF",398.218641817586,-1.94557048567127,0.226053299001447,-8.60668919350217,7.52009851781633e-18,1.23647773706403e-15,1.94557048567127
"lsrG",167.323609326359,-1.38698644676411,0.416687597521299,-3.3286002631581,0.000872835815602556,0.0126059902422329,1.38698644676411
"lsrK",687.674824980627,-1.59106343215099,0.303554199288342,-5.24144760929386,1.59321714719866e-07,5.92261156893415e-06,1.59106343215099
"lsrR",645.264898713857,-1.5356949652962,0.239441664258877,-6.41364972988098,1.42076437878262e-10,8.20779421526449e-09,1.5356949652962
"maeB",4512.20527286427,-1.00632531473249,0.315065775866367,-3.1940165889656,0.00140308054437283,0.018627855053397,1.00632531473249
